Carimbo de data/hora,Endereço de e-mail,Você costuma organizar suas finanças pessoais ?,Você já utilizou algum aplicativo de finanças ?, Quais controles você faz ou gostaria de fazer? (Você pode escolher mais de uma resposta)  ,O que você não gostou ou sente falta nos aplicativos atuais?   (Você pode escolher mais de uma resposta) ,O que seria essencial para você em um aplicativo de controle financeiro? (Escolha três opções somente),"Sobre educação financeira, o que você gostaria de aprender?   (Você pode escolher mais de uma resposta) ",Conte em poucas palavras qual dificuldade você enfrenta hoje com suas finanças e o que um aplicativo poderia fazer por você.
12/12/2025 00:18:40,REMOVIDO,Às vezes,Não,Gastos/Despesas,Não atende suas necessidades,"Rápido e Intuitivo, Permitir fazer controles personalizados (Agrupar váridas dívidas, por exemplo: ""Gastos com mercado""  = ""Arroz"", ""Feijão"", ""Carne""), Relacionar gastos à diferentes contas (Conseguir registrar diversas contas e vincular gastos apenas para aquela conta ou ""armazenamento de renda"")",Como economizar,Dividas
12/12/2025 00:24:22,REMOVIDO,Às vezes,Não,"Gastos/Despesas, Ganhos/Receitas, Investimentos, Parcelamentos/Prestações, ""Pé de meia""/ ""Caixinha"" / Reserva, Metas e Sonhos (Valores arrecadados ou guardados para um propósito)","Interface Confusa, Muito caro ou necessita pagar qualquer tipo de licença para uso","Simples de usar, Offline (Não necessita de internet para uso), Exportar e importar dados","Como organizar gastos, Como investir de forma básica (CDB e poupança por exemplo)","Renda baixa; Interface rápida, simples e intuitiva para educação financeira

"
12/12/2025 06:04:00,REMOVIDO,Não,Não,Metas e Sonhos (Valores arrecadados ou guardados para um propósito),Interface Confusa,"Simples de usar, Avisos de dívidas a pagar (Seja por e-mail ou notificações), Educação financeira","Como investir de forma básica (CDB e poupança por exemplo), Como planejar metas",Não gosto de ficar preenchendo planilha 
12/12/2025 07:48:38,REMOVIDO,Às vezes,Sim,"Gastos/Despesas, Ganhos/Receitas, Investimentos, Parcelamentos/Prestações, ""Pé de meia""/ ""Caixinha"" / Reserva, Metas e Sonhos (Valores arrecadados ou guardados para um propósito)","Não atende suas necessidades, Muito caro ou necessita pagar qualquer tipo de licença para uso","Avisos de dívidas a pagar (Seja por e-mail ou notificações), Educação financeira, Permitir fazer controles personalizados (Agrupar váridas dívidas, por exemplo: ""Gastos com mercado""  = ""Arroz"", ""Feijão"", ""Carne"")","Como economizar, Como organizar gastos, Como investir de forma básica (CDB e poupança por exemplo), Como planejar metas","Dificuldade em saber o valor real que já está comprometido do meu salario com cartão de credito, por causa das compras com recorrência "
12/12/2025 08:13:59,REMOVIDO,Sim,Não,"Gastos/Despesas, Ganhos/Receitas, Investimentos",Muito caro ou necessita pagar qualquer tipo de licença para uso,"Simples de usar, Avisos de dívidas a pagar (Seja por e-mail ou notificações), Educação financeira",Como investir de forma básica (CDB e poupança por exemplo),"Eu guardo muito dinheiro na caixinha, e as vezes não sobra dinheiro na conta corrente no final do mês para cobrir todos os meus gastos, acho que com o aplicativo, poderia me ajudar a me organizar melhor "
12/12/2025 08:57:54,REMOVIDO,Às vezes,Sim,Gastos/Despesas,Muito caro ou necessita pagar qualquer tipo de licença para uso,"Simples de usar, Offline (Não necessita de internet para uso), Educação financeira","Como organizar gastos, Como investir de forma básica (CDB e poupança por exemplo)",Não se aplica 
12/12/2025 09:08:38,REMOVIDO,Sim,Não,"Gastos/Despesas, Ganhos/Receitas, Investimentos, ""Pé de meia""/ ""Caixinha"" / Reserva, Metas e Sonhos (Valores arrecadados ou guardados para um propósito)",Difícil de Aprender,"Simples de usar, Educação financeira, Rápido e Intuitivo",Como investir de forma básica (CDB e poupança por exemplo),Falta de dinheiro 
12/12/2025 10:22:52,REMOVIDO,Não,Não,"Gastos/Despesas, Investimentos, Parcelamentos/Prestações, ""Pé de meia""/ ""Caixinha"" / Reserva, Metas e Sonhos (Valores arrecadados ou guardados para um propósito)",Difícil de Aprender,"Simples de usar, Avisos de dívidas a pagar (Seja por e-mail ou notificações), Rápido e Intuitivo","Como economizar, Como organizar gastos","Não tenho autocontrole então acabo gastando mais do que deveria, talvez com o aplicativo eu conseguiria me organizar mais."
12/12/2025 11:26:56,REMOVIDO,Às vezes,Sim,"Gastos/Despesas, Investimentos, Parcelamentos/Prestações, Metas e Sonhos (Valores arrecadados ou guardados para um propósito)",Muito caro ou necessita pagar qualquer tipo de licença para uso,"Simples de usar, Rápido e Intuitivo, Permitir fazer controles personalizados (Agrupar váridas dívidas, por exemplo: ""Gastos com mercado""  = ""Arroz"", ""Feijão"", ""Carne"")",Como planejar metas,Facilidade em dividir despesas por categorias mais específicas 
12/12/2025 12:14:57,REMOVIDO,Sim,Sim,"Gastos/Despesas, Ganhos/Receitas, Investimentos, Metas e Sonhos (Valores arrecadados ou guardados para um propósito)",Muito caro ou necessita pagar qualquer tipo de licença para uso,"Exportar e importar dados, Rápido e Intuitivo, Permitir fazer controles personalizados (Agrupar váridas dívidas, por exemplo: ""Gastos com mercado""  = ""Arroz"", ""Feijão"", ""Carne"")",Como planejar metas,.
